dataset,use_hvg,batch_size,clas_w,rec_w,dann_w,learning_rate,weight_decay,dropout,bottleneck,layer2,layer1,ae_bottleneck_activation
dominguez_2022_lymph,2941,265,1.760466251133913,0.2811768379718036,8.1653396017094e-05,5.853417040987645e-05,1e-08,0.16309695109167716,150,347,2048,
tabula_2022_spleen,4047,64,2.0,2.0,0.0018851635569738197,7.89701903571274e-05,1e-08,0.16032203842067605,30,303,1206,
hlca_trac_dataset_harmonized,3010,319,1.6049499389061126,0.29379775111237977,0.0016065672689119757,5.2998287899843474e-05,1.208085641056594e-06,0.035893990425392985,141,236,1248,linear
tran_2021,1000,64,0.001,2.0,1e-05,0.0001,1e-08,0.25,150,512,2048,
hlca_par_dataset_harmonized,2992,194,0.04758395239907196,0.17895503953048947,0.028277045463740925,9.43438782375397e-05,4.9999999999999996e-05,0.2364266049755546,126,249,1796,linear
tosti_2021,1731,93,0.15855422188109836,0.0438596496975668,0.0015083360690561183,8.475214757590511e-05,0.0001,0.11570748747790142,30,412,1613,
ajrccm_by_batch,3358,188,2.0,2.0,4.0005555736979744e-05,7.805112370940709e-05,1e-08,0.07827939567745634,128,239,1605,linear
htap,2692,64,0.001,0.0001,1e-05,5e-05,0.0001,0.25,150,512,2048,
dominguez_2022_spleen,5000,220,2.0,2.0,1e-05,0.0001,4.213737687118961e-06,0.15311130757242727,85,491,1484,
yoshida_2021,2495,64,0.024101985234601993,0.0032630396280272124,1.8771717640533235e-05,8.316250162434518e-05,5.492212338418778e-08,0.21387813343110038,98,452,1011,
